offer_id,offer_name,family,parent_id_hint,description,suits_size,needs_connectivity,is_mobility,is_security,is_multisite,is_b2b,monthly_price_tnd,strong_sectors,notes
mobile_mifi_pro,MiFi Pro,mobile_data,105,"Routeur mobile MiFi avec debit jusqu'a 42 Mbps, packs data varies, partage de connexion jusqu'a 10 utilisateurs simultanes.",small,medium,FALSE,FALSE,FALSE,TRUE,,,
mobile_roaming_international,Forfaits International & Roaming,mobile,101,Forfaits a l'international et roaming vers plusieurs destinations Europe Afrique avec tarif avantageux.,,low,FALSE,FALSE,FALSE,TRUE,,,
fixed_thd_fibre,Acces Tres Haut Debit Fibre (FO/FTTx),fixed,104,"Acces tres haut debit via reseau Fibre optique, debit garanti, offres sur mesure, assistance technique 24h/7j pour les entreprises.",,high,FALSE,FALSE,TRUE,TRUE,,,
fixed_thd_fh,Acces Tres Haut Debit Faisceaux Hertziens (FH),fixed,104,"Acces tres haut debit via faisceaux hertziens, debit garanti, solution de connectivite pour sites sans fibre.",,high,FALSE,FALSE,TRUE,TRUE,,,
fixed_fibre_pro,Fibre Pro,fixed,104,"Offre Fibre Pro d'Ooredoo Business avec debit dedie professionnel et IP fixe. Trois paliers: 30 Mbps DL / 15 Mbps UL a 84 DT HT/mois, 50 Mbps DL / 25 Mbps UL a 98 DT HT/mois, 100 Mbps DL / 50 Mbps UL a 128 DT HT/mois. Ligne voix fixe incluse avec 5 heures d'appels vers reseaux locaux et illimite vers numeros Ooredoo de l'entreprise (0,045 DT HT/min au-dela). Adresse IP fixe et nom de domaine inclus, backup MiFi 10 Go annuel. Ideal pour PME, TPE, professions liberales et bureaux ayant besoin d'une connectivite pro fiable.",small,high,FALSE,FALSE,FALSE,TRUE,,,Paliers 30/50/100 Mbps. Prix HT 84/98/128 DT. Voix fixe 5h/mois incluse.
fixed_haut_debit_xdsl,Acces Haut Debit xDSL / ADSL Pro,fixed,102,"Reseau xDSL selon le debit de votre choix, adresse IP fixe, nom de domaine inclus.",,medium,FALSE,FALSE,FALSE,TRUE,,,
fixed_haut_debit_duplex,Acces Haut Debit Duplex,fixed,104,Reseau Duplex allant jusqu'a 10 Mbps en illimite pour la connectivite entreprise.,,medium,FALSE,FALSE,FALSE,TRUE,,,
fixed_voix_business,Voix Fixe Business VoIP,fixed,104,"Telephonie d'entreprise VoIP compatible avec tous les standards, acces VoIP professionnels securises, canaux et numeros directs au choix.",,medium,FALSE,FALSE,TRUE,TRUE,,,
fixed_offre_jdid_pro,Offre Fixe Jdid Pro,fixed,104,"Offre Fixe Jdid Pro 5G d'Ooredoo Business. Connectivite fixe alternative a la fibre basee sur la technologie 5G, jusqu'a 30 Mbps avec IP fixe et engagement 36 mois. Ideal pour sites non eligibles a la fibre ou en zones ou le deploiement FO est indisponible. Peut servir de backup a une ligne fibre principale ou d'acces principal pour agences distantes.",,medium,FALSE,FALSE,FALSE,TRUE,,,"Alternative 5G a la fibre. 30 Mbps, IP fixe, 36 mois."
collab_ms365,Microsoft 365,collaboration,,"Suite bureautique MS 365 avec fonctionnalites avancees, gestion simplifiee des utilisateurs, centralisation des donnees, collaboration a distance en temps reel.",,high,FALSE,FALSE,FALSE,TRUE,,,
collab_business_centrex,Business Centrex,collaboration,104,"Solution de telephonie IP entreprise VoIP hebergee dans le Data Center Ooredoo. Standard telephonique virtuel sans investissement materiel, compatible acces Fibre FH et 4G. Convergence Fixe Mobile FMC native, numeros courts, screening service, voice call continuity, group post pour la reception. Licence Premium 10 TND HT par utilisateur par mois avec renvoi d'appel, filtrage, messagerie vocale. Licence Platinum 15 TND HT par utilisateur par mois avec application MyIstra softphone, multi-devices et fonctionnalite patron-secretaire. Ideal pour entreprises avec receptionniste, equipes commerciales, nouveaux business sans PBX physique.",,medium,FALSE,FALSE,TRUE,TRUE,,"tourism,retail,healthcare,financial_services,education",Prix Premium 10 TND / Platinum 15 TND HT par utilisateur par mois.
security_anti_ddos,Anti-DDoS,security,,"Service Anti-DDoS entierement manage protegeant vos services Internet contre les attaques par deni de service distribue. Partenariat Arbor Networks (leader du marche, utilise par 90% des Tier-1 mondiaux, ATLAS monitore 25% du trafic Internet mondial). Protection contre attaques volumetriques et applicatives Layer 7, detection en temps reel, redirection et filtrage du trafic malveillant, seuils personnalises, alertes SMS et email, monitoring 24h/7j par les experts SOC Ooredoo. 5 packages accessibles: Small 80 TND/mois, Silver 150 TND/mois, Medium 400 TND/mois, Gold 700 TND/mois, Emergency 1500 TND par intervention. Critique pour banques, assurances, e-commerce, telecoms, services publics dont la disponibilite et la reputation en ligne conditionnent le chiffre d'affaires.",,high,FALSE,TRUE,FALSE,TRUE,,"financial_services,retail,education,healthcare",Partenaire Arbor. Packages Small 80 / Silver 150 / Medium 400 / Gold 700 / Emergency 1500 TND.
security_safe_email,Safe E-mail,security,,"Service de securite email manage avec filtrage anti-malware anti-spam et anti-phishing. Face aux attaques par email qui restent le premier vecteur de compromission notamment ransomware, Safe E-mail bloque les menaces avant qu'elles n'atteignent votre reseau. Politique de securite robuste et personnalisable, protection des emails entrants et sortants. Adapte a toutes les entreprises manipulant des donnees sensibles ou realisant des transactions.",,medium,FALSE,TRUE,FALSE,TRUE,,"financial_services,healthcare,education,manufacturing,retail",Service manage Ooredoo SOC 24/7.
security_epp,Endpoint Protection Platform (EPP),security,,"Protection Endpoint Bitdefender de premiere ligne de defense pour postes de travail serveurs tablettes et smartphones. Prevention des attaques connues et inconnues via analyse comportementale, detection des attaques fileless, sandbox cloud, modeles machine learning adaptatifs HyperDetect. Gestion centralisee, analyse des vulnerabilites, protection web et anti-phishing, controle des peripheriques. Isolation et nettoyage automatique des machines compromises. Ideal pour PME ayant besoin d'une protection endpoint robuste sans equipe securite dediee. Face a plus d'un milliard de malwares existants et une penurie mondiale de competences cybersecurite, EPP offre une couverture complete geree par Ooredoo SOC.",,medium,FALSE,TRUE,FALSE,TRUE,,"manufacturing,retail,education,healthcare,tourism,transport","Partenaire Bitdefender, leader Gartner Magic Quadrant. Modele Opex."
security_edr,Endpoint Detection & Response (EDR),security,,"Solution avancee de detection et reponse aux incidents Bitdefender pour terminaux. Va au-dela de la prevention EPP avec analyse comportementale approfondie, threat hunting, priorisation des incidents, detection precoce des compromissions, investigation guidee, mecanismes automatises de reponse et remediation. Visualisation des attaques et forensic conformes au framework MITRE ATT&CK. Monitoring 24h/7j par experts SOC Ooredoo via tunnels VPN securises, threat hunting proactif, evaluation continue des vulnerabilites, SLA garantis. Recommande pour grandes entreprises, banques, assurances, hopitaux, secteurs regules et cibles prioritaires de ransomware.",,high,FALSE,TRUE,FALSE,TRUE,,"financial_services,healthcare,manufacturing",Partenaire Bitdefender. Threat hunting SOC 24/7. Framework MITRE ATT&CK.
security_waf,Web Application Firewall (WAF),security,,"Web Application Firewall entierement manage protegeant vos applications web contre les attaques de la couche applicative (Layer 7 HTTP/HTTPS). Partenariat F5 Networks. Deux packages: WAF Standard 100 DT HT/mois (protection OWASP Top 10, SQL Injection, XSS, Zero-Day, CSRF, Session Hijacking, chiffrement applicatif, reporting mensuel) et WAF Advanced 230 DT HT/mois (toutes fonctionnalites Standard + Layer 7 DDoS, IP Intelligence, Geolocation Blocking, detection bot automatisee, Behavioral DoS, Load Balancing, mitigation brute force, SSL termination avec re-encryption, protection Slowloris/XML Bombs/Shellshock). Hebergement Ooredoo Cloud, modele Opex, deploiement rapide sans materiel client. Critique pour banques, e-commerce, portails clients, e-banking, services publics numeriques.",,high,FALSE,TRUE,FALSE,TRUE,,"financial_services,retail,education",Partenaire F5. WAF Standard 100 DT / Advanced 230 DT HT/mois. Managed SOC 24/7.
security_secure_internet,Secure Internet Access,security,,"Secure Internet Access (SIA) — cybersecurite manageee par Ooredoo Business en partenariat avec Fortinet. Plateforme UTM Next-Generation Firewall avec IPS, IPsec VPN, filtrage URL, application control, antivirus, anti-malware, anti-spam, sandboxing, DLP, monitoring 24h/7j. Trois packages: Protect Business (Clean Pipe, Shared VDOM cloud, 50-80 TND/mois, engagement 12 mois, ideal SOHO), Safe Business (SECaaS Dedicated VDOM, Palier 1 jusqu'a 5 sites 300 TND/mois ou Palier 2 6-10 sites 450 TND/mois, engagement 12 mois, ideal PME), Trust Business (appliance FortiGate on-premise: FG-30D 180 TND/mois jusqu'a 10 users, FG-60D 220 TND/mois jusqu'a 30 users, FG-90D 300 TND/mois plus de 30 users, engagement 36 mois). Modele MSSP Opex vs deploiement traditionnel a 27 000 TND CAPEX.",,high,FALSE,TRUE,FALSE,TRUE,,"financial_services,healthcare,education,manufacturing,retail,tourism",Partenaire Fortinet. Protect / Safe / Trust Business selon taille et deploiement.
security_secure_sdwan,Secure SD-WAN,security,,"SD-WAN-as-a-Service Fortinet pour securiser et optimiser les acces WAN multi-sites. Solution cle en main pour entreprises multi-sites: chaines de magasins, agences bancaires, franchises, groupes industriels multi-usines. Mixage de technologies MPLS, FH, FO, FTTx, xDSL, TDD, 4G avec routage applicatif intelligent, gestion centralisee, optimisation des couts WAN, visibilite de bout en bout. Packs Basic (failover, load balancing), Advanced (QoS, contr\u00f4le applicatif), Professional (IPS, filtrage web, anti-spam, protection malware avancee). Partenariat Fortinet, leader Gartner Magic Quadrant SD-WAN 4 annees consecutives. Abonnement mensuel Opex, deploiement rapide, continuite d'activite garantie.",,high,FALSE,TRUE,TRUE,TRUE,,"retail,financial_services,manufacturing,healthcare,tourism",Partenaire Fortinet. Packs Basic/Advanced/Professional. Necessite plusieurs sites.
security_secure_wifi,Secure WiFi,security,,"WiFi-as-a-Service manage par Ooredoo, cle en main pour collaborateurs, invites et visiteurs. Solutions Fortinet WiFi-6 haut de gamme ou D-Link WiFi-6 entree de gamme. Controleur Cloud ou On-Premise, integration bornes Indoor et Outdoor, gestion QoS et bande passante, authentification utilisateurs, portails captifs personnalisables. Portails captifs avances HSNM pour campagnes marketing ciblees: authentification email SMS reseaux sociaux, collecte de donnees clients, reporting comportemental. Ideal pour centres commerciaux, hotels, restaurants, aeroports, ecoles, hopitaux. Recommande par Mall of Sfax, Movenpick Hotels, Office de l'Aviation Civile, Atrium Yasmine Hammamet. Engagement 36 ou 60 mois.",,high,FALSE,TRUE,TRUE,TRUE,,"tourism,retail,education,healthcare",Partenaires Fortinet et D-Link. Portails captifs HSNM pour marketing.
cloud_paas_hebergement,Cloud PaaS - Hebergement Web,cloud,,"Cloud PaaS Ooredoo — hebergement web manage pour vos applications et sites, heberge dans les datacenters Tunisiens (souverainete des donnees, conformite reglementaire, integration reseau Ooredoo). Serveur Apache, PHP, base de donnees MySQL. Environnement securise, backup, supervision 24/7. Se combine avec Ooredoo Host (domaines nationaux .tn/.com.tn et internationaux .com/.net/.info) pour une presence en ligne complete.",,high,FALSE,FALSE,FALSE,TRUE,,,Hebergement web manage sur datacenter local Ooredoo.
cloud_iaas_vm,Cloud IaaS - Machines Virtuelles & Housing,cloud,,"Cloud IaaS Ooredoo — machines virtuelles et housing hebergees dans les datacenters Tunisiens d'Ooredoo (El Mghira, standard TIA 942, ISO 27001, label N-Cloud). Infrastructure HP Bladesystem C7000, serveurs HP Proliant Blade, baies de stockage HP 3PAR, virtualisation VMware. Trois options housing: rack partage, rack dedie, white space dedie. Double arrivee fibre 10 Gbps vers backbone Ooredoo, double alimentation STEG, onduleurs N+1, 2 groupes electrogenes 50h autonomie, climatisation redondante allees chaudes/froides, systeme anti-feu FM 200, video surveillance 24/7, acces badge + empreinte digitale. Disponibilite garantie 99,9% avec GTR 4 heures. Souverainete des donnees, conformite reglementaire tunisienne, integration avec connectivite Ooredoo.",,high,FALSE,FALSE,FALSE,TRUE,,,"Datacenter El Mghira TIA 942, ISO 27001, N-Cloud. HP/VMware. 99,9% SLA, GTR 4h."
cloud_saas_erp_mail,Cloud SaaS - ERP & Applications Metier,cloud,,"Cloud SaaS Ooredoo — applications metier hebergees et managees dans les datacenters Tunisiens: ERP as a Service (gestion commerciale, comptabilite, RH, stocks), CRM, applications sectorielles. Modele abonnement mensuel, pas d'investissement materiel ou logiciel, mises a jour continues, support 24/7. Alternative locale et souveraine aux clouds internationaux pour les entreprises soucieuses de la conformite et de la latence reseau. Pour la messagerie et collaboration dediees, consulter Zimbra Mail Pro ou Microsoft 365.",,high,FALSE,FALSE,FALSE,TRUE,,,ERP/CRM/apps metier en SaaS local Ooredoo.
managed_services,Services Manages,managed,,"Services manages pour infrastructures et applications toujours disponibles, abonnement mensuel, continuite d'activite, accompagnement expert.",,high,FALSE,FALSE,FALSE,TRUE,,,
iot_m2m,IoT / M2M ConnectManager,iot,,"Plateforme IoT Connect Manager pour la gestion centralisee de flottes d'objets connectes: vehicules, machines industrielles, capteurs terrain, compteurs, systemes de surveillance. Gestion autonome du cycle de vie des cartes SIM en ligne, alertes metiers configurables en temps reel, enrichissement des bases BI, remontee et suivi des incidents. Portail web securise accessible 24/7. Technologies SIM industrielles ruggedised, eSIM, communication securisee via APN VPN prive MPLS ou IPSec. Connectivite 2G/3G/4G. Bundles data flexibles adaptes aux usages M2M. Utilise dans les secteurs fabrication (OneTech, GIAS, SLAMA), transport et logistique, sante (Med.tn), gouvernement (CNSS, Office Aviation Civile), petrole et gaz, hospitalite, retail, education, finance et assurance (Talan, Assurances At-Takafulia). Reduction des couts, meilleure experience client, connaissance approfondie des usages.",,medium,TRUE,FALSE,FALSE,TRUE,,"transport,manufacturing,healthcare,retail,education,financial_services",Ooredoo Group present sur 9 pays. References OneTech GIAS Vitalait CNSS.
fixed_pack_fixi_pro,Pack Fixi Pro,fixed,104,"Pack Fixi Pro d'Ooredoo Business — connectivite fixe professionnelle packagee, activable selon l'eligibilite Fibre Pro ou Fixe Jdid 5G Pro. Trois debits au choix: 30, 50 ou 100 Mbps. Adresse IP fixe activable a la demande, service voix inclus par defaut en mode prepaye rechargeable. Engagement 24 mois. Ideal pour PME, TPE, professions liberales, cabinets et bureaux ayant besoin d'une connectivite Internet fiable avec adresse IP fixe pour applications professionnelles, acces distant, VPN, hebergement de serveurs internes.",small,high,FALSE,FALSE,FALSE,TRUE,,"retail,healthcare,financial_services,tourism,education,manufacturing",Pack fibre/5G 30-50-100 Mbps avec IP fixe et voix. Engagement 24 mois.
fixed_pack_dima_pro,Pack Dima Pro (Convergent Fixe + Mobile + Cloud),fixed,104,"Pack Dima Pro d'Ooredoo Business — solution convergente reunissant connectivite fixe, mobile et cloud dans un seul pack avec 10% de remise mensuelle sur les services supplementaires. Connectivite Fibre Pro ou Fixe Jdid 5G Pro (30, 50 ou 100 Mbps) avec IP fixe a la demande et voix fixe prepayee. Bonus mobile mensuel automatique: 100 heures d'appels all-net + 30 Go d'internet mobile pendant la duree d'engagement (via l'offre mobile Business existante ou via l'offre Privilege Pro 30 si le client n'a pas encore de mobile Business Ooredoo). Option 1 To Stockage Cloud activable a la demande via licence MS 365 Basic. Engagement 24 mois. Ideal pour PME cherchant a simplifier leur gestion multi-services avec un interlocuteur unique, remise volume et bundle convergent fixe-mobile-cloud.",small,high,FALSE,FALSE,FALSE,TRUE,,"retail,tourism,healthcare,education,manufacturing,financial_services",Pack convergent fixe+mobile+cloud. Bonus 100H + 30Go + option 1To Cloud. 10% remise. Engagement 24 mois.
fixed_box_200go,Super Box 200 Go,fixed,105,"Super Box 200 Go d'Ooredoo Business — solution de connectivite Internet fixe simplifiee avec forfait 200 Go/mois, bridage 10 Mbps au-dela, IP fixe incluse, engagement 36 mois. Ideal comme acces principal pour petits sites, bureaux distants, agences a faible trafic, ou comme lien de backup pour une connectivite fibre/faisceau hertzien principale. Utilisee dans des architectures multi-sites entreprise comme lien secondaire economique.",solo,medium,FALSE,FALSE,FALSE,TRUE,,,"Box 200 Go/mois avec bridage 10 Mbps, IP fixe. Ideal petits sites ou backup."
collab_zimbra_mail,Zimbra Mail Pro (Messagerie et Collaboration),collaboration,,"Zimbra Mail Pro d'Ooredoo Business — solution complete de messagerie et collaboration hebergee en Tunisie sur le cloud souverain Ooredoo. Messagerie professionnelle avec calendrier, contacts, taches, chat, partage de documents, videoconference. Plateforme leader open source alimentant des centaines de millions de boites dans le monde, alternative economique a Microsoft 365 et Google Workspace. Deux offres: Mail CE gratuit (2 Go de stockage, email/contacts/calendrier/taches) et Mail NE a 3,5 DT HT/mois par boite (5 Go de stockage, anti-virus et anti-spam, synchro mobile ActiveSync, clients desktop, chat Zimbra, integrations Zoom et WebEx, storage management, archiving, logo et theme personnalises). Hebergement local en datacenter Ooredoo pour conformite reglementaire et souverainete des donnees. Interface d'administration simplifiee. Acces Web, desktop, mobile. Redondance et haute disponibilite. Ideal pour PME, professions liberales, cabinets, associations et administrations souhaitant une messagerie professionnelle a cout maitrise avec donnees hebergees en Tunisie.",,medium,FALSE,FALSE,FALSE,TRUE,,"financial_services,healthcare,education,manufacturing,retail,tourism","Mail CE gratuit / Mail NE 3,5 DT HT/mois. Hebergement local. Alternative a MS365."
cloud_ohost,"Ooredoo Host (Domaine, Hebergement Web, Mail Pro)",cloud,,"Ooredoo Host — plateforme self-service (host.ooredoo.tn) permettant aux entreprises d'etablir leur presence en ligne rapidement: achat et gestion de noms de domaine nationaux (.tn, .com.tn) et internationaux (.com, .net, .info), hebergement web professionnel, adresses email pro associees au domaine. Trois offres hebergement: Basic 3,900 DT HT (100 Go disque, 10 emails, 1 base MySQL, domaine national gratuit, assistance 24/7), Advanced 9,900 DT HT (200 Go, 100 emails, 3 bases MySQL, SSL, Anti-DDoS inclus), Pro 19,900 DT HT (espace illimite, 1000 emails, 5 bases MySQL, SSL, Anti-DDoS). Domaines: 11,900 DT/an national, 29,900 DT/an international. Ideal pour auto-entrepreneurs, startups, petites entreprises et professionnels souhaitant creer leur site vitrine, boutique en ligne ou blog professionnel avec assistance locale.",solo,medium,FALSE,FALSE,FALSE,TRUE,,"retail,tourism,education","Basic 3,9 / Advanced 9,9 / Pro 19,9 DT HT. Domaine + hebergement + Mail Pro. Ideal solo/startup."
